station	year	month	day	precipitation	min_temp	max_temp	avg_temp	max_wind	min_wind	max_sky	avg_sky	min_vis	max_vis	avg_vis	min_dew	max_dew	avg_dew	min_pres	max_pres	avg_pres	weekday
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
Adelaide	1958	01	18	0.0	15.6	26.1	21.5	8.2	?	?	?	30000.0	45000.0	43125.0	8.3	15.0	11.4	?	?	?	Sat
Adelaide	1958	02	08	0.0	23.9	30.6	27.0	8.2	?	?	?	45000.0	45000.0	45000.0	6.1	12.2	8.9	?	?	?	Sat
Adelaide	1958	02	15	0.0	19.4	32.8	25.6	7.7	?	?	?	40000.0	40000.0	40000.0	7.2	11.7	9.2	?	?	?	Sat
Adelaide	1958	02	22	0.0	14.4	20.0	17.4	8.7	?	?	?	30000.0	45000.0	41875.0	10.6	13.3	12.2	?	?	?	Sat
Adelaide	1958	03	01	0.0	16.1	21.7	18.8	0.0	?	?	?	2300.0	40000.0	35287.5	8.9	13.3	11.0	?	?	?	Sat
Adelaide	1958	03	08	0.0	13.9	20.6	16.7	5.1	?	?	?	30000.0	40000.0	37500.0	7.8	11.7	9.8	?	?	?	Sat
Adelaide	1958	03	15	0.0	11.1	21.1	16.5	6.2	?	?	?	30000.0	45000.0	38125.0	5.0	10.0	7.4	?	?	?	Sat
Adelaide	1958	03	22	0.0	17.2	24.4	20.1	8.7	?	?	?	30000.0	45000.0	37500.0	7.2	13.9	10.2	?	?	?	Sat
Adelaide	1958	03	29	0.0	10.0	17.2	13.9	3.1	?	?	?	30000.0	45000.0	35000.0	7.2	8.9	8.1	?	?	?	Sat
Adelaide	1958	04	05	0.0	14.4	32.8	24.9	9.8	?	?	?	30000.0	40000.0	33750.0	8.9	16.7	13.5	?	?	?	Sat
Adelaide	1958	04	12	0.0	19.4	30.0	24.5	6.2	?	?	?	30000.0	40000.0	36250.0	3.9	10.6	6.4	?	?	?	Sat
Adelaide	1958	05	03	0.0	16.1	18.9	17.5	10.3	?	?	?	16000.0	24000.0	23000.0	12.8	15.6	14.0	?	?	?	Sat
Adelaide	1958	05	10	0.0	8.3	20.0	14.9	4.6	?	?	?	24000.0	30000.0	29250.0	7.2	14.4	10.9	?	?	?	Sat
Adelaide	1958	05	17	0.0	14.4	20.6	16.3	12.9	?	?	?	16000.0	40000.0	35750.0	6.1	12.2	9.1	?	?	?	Sat
Adelaide	1958	05	24	0.0	15.0	17.2	16.0	12.9	?	?	?	24000.0	30000.0	27000.0	8.3	11.7	9.8	?	?	?	Sat
Adelaide	1958	05	31	0.0	8.9	18.3	12.2	3.6	?	?	?	16000.0	40000.0	32500.0	3.9	8.3	6.2	?	?	?	Sat
Adelaide	1958	06	07	0.0	5.0	12.8	9.1	6.2	?	?	?	40000.0	40000.0	40000.0	0.0	4.4	2.8	?	?	?	Sat
